Currency Pair,Height,Price
VRSC/vETH,2757830,0.0006914213090700658
VRSC/vETH,2757860,0.0007308504167753958
VRSC/vETH,2757890,0.0016923248508635257
VRSC/vETH,2757920,0.0016620456250897118
VRSC/vETH,2757950,0.0013925113216132871
VRSC/vETH,2757980,0.0013925113216132871
VRSC/vETH,2758010,0.0013925113216132871
VRSC/vETH,2758040,0.0013925113216132871
VRSC/vETH,2758070,0.0013990133836495697
VRSC/vETH,2758100,0.0013990133836495697
VRSC/vETH,2758130,0.0014009217456727977
VRSC/vETH,2758160,0.0014138679373268013
VRSC/vETH,2758190,0.0014172723188646662
VRSC/vETH,2758220,0.0013705775983466014
VRSC/vETH,2758250,0.001151849724695004
VRSC/vETH,2758280,0.001151849724695004
VRSC/vETH,2758310,0.001151849724695004
VRSC/vETH,2758340,0.001151275927265821
VRSC/vETH,2758370,0.001150249115451372
VRSC/vETH,2758400,0.0011635219014271812
VRSC/vETH,2758430,0.0007976759591541136
VRSC/vETH,2758460,0.0007418543437585139
VRSC/vETH,2758490,0.0007392676346379996
VRSC/vETH,2758520,0.0007392676346379996
VRSC/vETH,2758550,0.0007700708887088267
VRSC/vETH,2758580,0.0007700708887088267
VRSC/vETH,2758610,0.0007840181501478252
VRSC/vETH,2758640,0.0007888991684983826
VRSC/vETH,2758670,0.0007888991684983826
VRSC/vETH,2758700,0.0007888991684983826
VRSC/vETH,2758730,0.0007888991684983826
VRSC/vETH,2758760,0.0007905732583935363
VRSC/vETH,2758790,0.0007378264877156695
VRSC/vETH,2758820,0.0006945657354132146
VRSC/vETH,2758850,0.0005196713392965965
VRSC/vETH,2758880,0.0005932336429221265
VRSC/vETH,2758910,0.0005751336045622769
VRSC/vETH,2758940,0.0006843358529592747
VRSC/vETH,2758970,0.0006800904822066138
VRSC/vETH,2759000,0.0006367446669716186
VRSC/vETH,2759030,0.0006027797201717518
VRSC/vETH,2759060,0.0006061668016957426
VRSC/vETH,2759090,0.0006061668016957426
VRSC/vETH,2759120,0.0006043233811469251
VRSC/vETH,2759150,0.0006043356202621875
VRSC/vETH,2759180,0.0005994414901107188
VRSC/vETH,2759210,0.0005959025703606305
VRSC/vETH,2759240,0.0005958985783800049
VRSC/vETH,2759270,0.0006007364184796803
VRSC/vETH,2759300,0.0005899562772672738
VRSC/vETH,2759330,0.0005702467285942348
VRSC/vETH,2759360,0.0005471647103013942
VRSC/vETH,2759390,0.0005499927284759569
VRSC/vETH,2759420,0.0005801934996966312
VRSC/vETH,2759450,0.0005789527123961634
VRSC/vETH,2759480,0.0005907656522313603
VRSC/vETH,2759510,0.000590772244628018
VRSC/vETH,2759540,0.0005899891988227015
VRSC/vETH,2759570,0.0005900943093332384
VRSC/vETH,2759600,0.0005903405241897431
VRSC/vETH,2759630,0.0005889479195077602
VRSC/vETH,2759660,0.0005873031095670843
VRSC/vETH,2759690,0.0005855820682228924
VRSC/vETH,2759720,0.0005596455952355573
VRSC/vETH,2759750,0.00053309664746303
VRSC/vETH,2759780,0.0005503519132113119
VRSC/vETH,2759810,0.0005429063960122708
VRSC/vETH,2759840,0.0005410751686717588
VRSC/vETH,2759870,0.0005297403904716704
VRSC/vETH,2759900,0.0005297403904716704
VRSC/vETH,2759930,0.000525879234329215
VRSC/vETH,2759960,0.000525879234329215
VRSC/vETH,2759990,0.0005259188056115956
VRSC/vETH,2760020,0.0005144121327817862
VRSC/vETH,2760050,0.0005001209641315135
VRSC/vETH,2760080,0.0004971610494302275
VRSC/vETH,2760110,0.0004976303846185103
VRSC/vETH,2760140,0.0004985877468721695
VRSC/vETH,2760170,0.0004943009839895993
VRSC/vETH,2760200,0.0004900544754125497
VRSC/vETH,2760230,0.00048063623699350376
VRSC/vETH,2760260,0.0004828745136850299
VRSC/vETH,2760290,0.00047742589210457583
VRSC/vETH,2760320,0.0004754272259612291
VRSC/vETH,2760350,0.00047535342201734596
VRSC/vETH,2760380,0.00047535323749957564
VRSC/vETH,2760410,0.00047535323749957564
VRSC/vETH,2760440,0.00048056513008388834
VRSC/vETH,2760470,0.0004734112807067871
VRSC/vETH,2760500,0.0004709863157629418
VRSC/vETH,2760530,0.00046909592205943515
VRSC/vETH,2760560,0.00045507549048311624
VRSC/vETH,2760590,0.0004555478468263187
VRSC/vETH,2760620,0.0004555478468263187
VRSC/vETH,2760650,0.0004555478468263187
VRSC/vETH,2760680,0.0004555478468263187
VRSC/vETH,2760710,0.00045512618942426434
VRSC/vETH,2760740,0.0004554920832103482
VRSC/vETH,2760770,0.00047239312454195253
VRSC/vETH,2760800,0.00047239283244566267
VRSC/vETH,2760830,0.0004695127791123093
VRSC/vETH,2760860,0.0004695102825958093
VRSC/vETH,2760890,0.00046464106105446087
VRSC/vETH,2760920,0.00044927438845265524
VRSC/vETH,2760950,0.0004448413287631896
VRSC/vETH,2760980,0.00044021286963560663
VRSC/vETH,2761010,0.000440212740747467
VRSC/vETH,2761040,0.000440212740747467
VRSC/vETH,2761070,0.000440240403043692
VRSC/vETH,2761100,0.00043956195090279296
VRSC/vETH,2761130,0.00043956195951446
VRSC/vETH,2761160,0.00043956195951446
VRSC/vETH,2761190,0.00043542208463672225
VRSC/vETH,2761220,0.0004371574194020979
VRSC/vETH,2761250,0.0004373816380001947
VRSC/vETH,2761280,0.0004373816380001947
VRSC/vETH,2761310,0.00043521776786451715
VRSC/vETH,2761340,0.00043169402997115717
VRSC/vETH,2761370,0.0004393298250738673
VRSC/vETH,2761400,0.000434990891926519
VRSC/vETH,2761430,0.0004318048902573672
VRSC/vETH,2761460,0.0004318048902573672
VRSC/vETH,2761490,0.00042666085759451394
VRSC/vETH,2761520,0.0004266608464272638
VRSC/vETH,2761550,0.0004267233204463375
VRSC/vETH,2761580,0.0004267233204463375
VRSC/vETH,2761610,0.0004267233204463375
VRSC/vETH,2761640,0.0004267233204463375
VRSC/vETH,2761670,0.0004267227933623546
VRSC/vETH,2761700,0.0004246631153101498
VRSC/vETH,2761730,0.0004246631153101498
VRSC/vETH,2761760,0.00041658295903672214
VRSC/vETH,2761790,0.0004166584476337187
VRSC/vETH,2761820,0.00041665896637203424
VRSC/vETH,2761850,0.0004161551861944749
VRSC/vETH,2761880,0.0004161551861944749
VRSC/vETH,2761910,0.0004161562634358278
VRSC/vETH,2761940,0.0004161562634358278
VRSC/vETH,2761970,0.0004160943003862746
VRSC/vETH,2762000,0.0004036848503548041
VRSC/vETH,2762030,0.0004030944607160624
VRSC/vETH,2762060,0.00039785009494028447
VRSC/vETH,2762090,0.0003963420959692697
VRSC/vETH,2762120,0.0003904220808365035
VRSC/vETH,2762150,0.0003904220812262279
VRSC/vETH,2762180,0.00040458624338564716
VRSC/vETH,2762210,0.00040458624338564716
VRSC/vETH,2762240,0.0004045234783772295
VRSC/vETH,2762270,0.0004081086693720149
VRSC/vETH,2762300,0.0004085862987558262
VRSC/vETH,2762330,0.0004085862987558262
VRSC/vETH,2762360,0.0004085862987558262
VRSC/vETH,2762390,0.0004085870612415298
VRSC/vETH,2762420,0.0004085870612415298
VRSC/vETH,2762450,0.0004085870612415298
VRSC/vETH,2762480,0.0004100198896852836
VRSC/vETH,2762510,0.0004100198896852836
VRSC/vETH,2762540,0.0004100198896852836
VRSC/vETH,2762570,0.0004100424762259825
VRSC/vETH,2762600,0.00041174465188312286
VRSC/vETH,2762630,0.00041174465188312286
VRSC/vETH,2762660,0.00040700903870463456
VRSC/vETH,2762690,0.00041187448744099616
VRSC/vETH,2762720,0.00041141034936367543
VRSC/vETH,2762750,0.0004114398602968523
VRSC/vETH,2762780,0.0004108504370277828
VRSC/vETH,2762810,0.0004108504370277828
VRSC/vETH,2762840,0.0004108488451912794
VRSC/vETH,2762870,0.00041443301600231955
VRSC/vETH,2762900,0.00040487890803232805
