Currency Pair,Height,Price
vETH/VRSC,2764190,2479.5109788260893
vETH/VRSC,2764220,2479.5109788260893
vETH/VRSC,2764250,2485.9728878136034
vETH/VRSC,2764280,2518.1550370744208
vETH/VRSC,2764310,2530.6462414431203
vETH/VRSC,2764340,2530.6462414431203
vETH/VRSC,2764370,2670.002396180808
vETH/VRSC,2764400,2708.037795618637
vETH/VRSC,2764430,2728.999703377818
vETH/VRSC,2764460,2729.879446328989
vETH/VRSC,2764490,2729.879446328989
vETH/VRSC,2764520,2675.041760889761
vETH/VRSC,2764550,2675.041760889761
vETH/VRSC,2764580,2675.041760889761
vETH/VRSC,2764610,2675.041760889761
vETH/VRSC,2764640,2675.041760889761
vETH/VRSC,2764670,2675.041760889761
vETH/VRSC,2764700,2675.041760889761
vETH/VRSC,2764730,2674.8432774650855
vETH/VRSC,2764760,2685.834393832184
vETH/VRSC,2764790,2688.3512194222917
vETH/VRSC,2764820,2688.3512194222917
vETH/VRSC,2764850,2688.3512194222917
vETH/VRSC,2764880,2688.3512194222917
vETH/VRSC,2764910,2688.3380075879845
vETH/VRSC,2764940,2687.690849160423
vETH/VRSC,2764970,2687.6795698868355
vETH/VRSC,2765000,2760.779474107933
vETH/VRSC,2765030,2781.057093397789
vETH/VRSC,2765060,2773.79112934479
vETH/VRSC,2765090,2779.0149446894075
vETH/VRSC,2765120,2779.0165057447907
vETH/VRSC,2765150,2752.6493199666274
vETH/VRSC,2765180,2736.404338440757
vETH/VRSC,2765210,2736.404338440757
vETH/VRSC,2765240,2736.404338440757
vETH/VRSC,2765270,2735.9002868068837
vETH/VRSC,2765300,2735.6985128531974
vETH/VRSC,2765330,2735.6985128531974
vETH/VRSC,2765360,2735.6985128531974
vETH/VRSC,2765390,2735.6985128531974
vETH/VRSC,2765420,2735.4967681113235
vETH/VRSC,2765450,2735.509700977268
vETH/VRSC,2765480,2734.3069041961476
vETH/VRSC,2765510,2734.3069041961476
vETH/VRSC,2765540,2750.1798574022646
vETH/VRSC,2765570,2750.1798574022646
vETH/VRSC,2765600,2750.1798574022646
vETH/VRSC,2765630,2750.1798574022646
vETH/VRSC,2765660,2750.1798574022646
vETH/VRSC,2765690,2750.1798574022646
vETH/VRSC,2765720,2750.1798574022646
vETH/VRSC,2765750,2750.1798574022646
vETH/VRSC,2765780,2756.9403108381616
vETH/VRSC,2765810,2756.9372801844306
vETH/VRSC,2765840,2756.9372801844306
vETH/VRSC,2765870,2754.931488967041
vETH/VRSC,2765900,2752.9210338192293
vETH/VRSC,2765930,2752.524779029801
vETH/VRSC,2765960,2752.2581681079655
vETH/VRSC,2765990,2752.271188171494
vETH/VRSC,2766020,2752.271188171494
vETH/VRSC,2766050,2752.271188171494
vETH/VRSC,2766080,2752.271188171494
vETH/VRSC,2766110,2752.271188171494
vETH/VRSC,2766140,2752.271188171494
vETH/VRSC,2766170,2752.271188171494
vETH/VRSC,2766200,2727.5687212448183
vETH/VRSC,2766230,2776.807441988266
vETH/VRSC,2766260,2776.807441988266
vETH/VRSC,2766290,2776.807441988266
vETH/VRSC,2766320,2777.595294409215
vETH/VRSC,2766350,2810.940741021942
vETH/VRSC,2766380,2838.705817755736
vETH/VRSC,2766410,2837.41681563028
vETH/VRSC,2766440,2837.41681563028
vETH/VRSC,2766470,2853.3525154943327
vETH/VRSC,2766500,2853.3525154943327
vETH/VRSC,2766530,2853.3525154943327
vETH/VRSC,2766560,2853.3525154943327
vETH/VRSC,2766590,2853.3525154943327
vETH/VRSC,2766620,2834.500891086419
vETH/VRSC,2766650,2834.500891086419
vETH/VRSC,2766680,2834.500891086419
vETH/VRSC,2766710,2834.500891086419
vETH/VRSC,2766740,2834.500891086419
vETH/VRSC,2766770,2739.2852540619747
vETH/VRSC,2766800,2739.2845375636684
vETH/VRSC,2766830,2739.2845375636684
vETH/VRSC,2766860,2739.282844241354
vETH/VRSC,2766890,2739.282844241354
vETH/VRSC,2766920,2739.282844241354
vETH/VRSC,2766950,2739.55741366412
vETH/VRSC,2766980,2739.5489953158635
vETH/VRSC,2767010,2791.136731150928
vETH/VRSC,2767040,2845.3980683069344
vETH/VRSC,2767070,2845.3980683069344
vETH/VRSC,2767100,2893.0040678595415
vETH/VRSC,2767130,2908.2968984882627
vETH/VRSC,2767160,2908.2968984882627
vETH/VRSC,2767190,2908.2968984882627
vETH/VRSC,2767220,2908.2968984882627
vETH/VRSC,2767250,2872.278256668377
vETH/VRSC,2767280,2907.59171683649
vETH/VRSC,2767310,2907.165259236601
vETH/VRSC,2767340,2895.049190837862
vETH/VRSC,2767370,2852.0480178079283
vETH/VRSC,2767400,2851.815600870792
vETH/VRSC,2767430,2876.920288153915
vETH/VRSC,2767460,2877.7852745326622
vETH/VRSC,2767490,2877.5497062452905
vETH/VRSC,2767520,2869.721063135225
vETH/VRSC,2767550,2909.1899508797296
vETH/VRSC,2767580,2947.596107364423
vETH/VRSC,2767610,2931.8446286534117
vETH/VRSC,2767640,2928.51412432489
vETH/VRSC,2767670,2941.1016210971416
vETH/VRSC,2767700,2939.4976601256753
vETH/VRSC,2767730,2914.624154427239
vETH/VRSC,2767760,2884.7774714756106
vETH/VRSC,2767790,2896.211497533532
vETH/VRSC,2767820,2896.211497533532
vETH/VRSC,2767850,2895.4955309397537
vETH/VRSC,2767880,2756.039623585403
vETH/VRSC,2767910,2798.476605454743
vETH/VRSC,2767940,2798.476605454743
vETH/VRSC,2767970,2798.476605454743
vETH/VRSC,2768000,2756.0459828592616
vETH/VRSC,2768030,2756.0459828592616
vETH/VRSC,2768060,2756.0459828592616
vETH/VRSC,2768090,2756.0459828592616
vETH/VRSC,2768120,2756.0459828592616
vETH/VRSC,2768150,2756.0459828592616
vETH/VRSC,2768180,2756.0459828592616
vETH/VRSC,2768210,2756.043393552478
vETH/VRSC,2768240,2756.043393552478
vETH/VRSC,2768270,2756.043393552478
vETH/VRSC,2768300,2756.043393552478
vETH/VRSC,2768330,2704.8825174825174
vETH/VRSC,2768360,2805.4213528512737
vETH/VRSC,2768390,2790.9841183818685
vETH/VRSC,2768420,2749.7273863918685
vETH/VRSC,2768450,2749.7273863918685
vETH/VRSC,2768480,2772.239551940547
vETH/VRSC,2768510,2770.57692391057
vETH/VRSC,2768540,2733.661311234378
vETH/VRSC,2768570,2761.78342808529
vETH/VRSC,2768600,2761.78342808529
vETH/VRSC,2768630,2739.6215784377014
vETH/VRSC,2768660,2821.9798719945024
vETH/VRSC,2768690,2814.279897046871
vETH/VRSC,2768720,2805.965413081641
vETH/VRSC,2768750,2808.793078586878
vETH/VRSC,2768780,2808.793078586878
vETH/VRSC,2768810,2819.835535434801
vETH/VRSC,2768840,2819.835535434801
vETH/VRSC,2768870,2823.4111668785104
vETH/VRSC,2768900,2823.4111668785104
vETH/VRSC,2768930,2839.4850272022386
vETH/VRSC,2768960,2839.4850272022386
vETH/VRSC,2768990,2847.1052681713404
vETH/VRSC,2769020,2847.1460892189866
vETH/VRSC,2769050,2846.724239372993
vETH/VRSC,2769080,2846.724239372993
vETH/VRSC,2769110,2838.090241114679
vETH/VRSC,2769140,2792.4897467676205
vETH/VRSC,2769170,2792.4897467676205
vETH/VRSC,2769200,2792.4897467676205
vETH/VRSC,2769230,2775.511355506426
vETH/VRSC,2769260,2777.231339782581
vETH/VRSC,2769290,2772.6843666320046
vETH/VRSC,2769320,2771.5645245559035
vETH/VRSC,2769350,2773.2524198349693
vETH/VRSC,2769380,2773.2524198349693
vETH/VRSC,2769410,2773.2524198349693
vETH/VRSC,2769440,2773.2524198349693
vETH/VRSC,2769470,2773.2524198349693
vETH/VRSC,2769500,2773.2528885811807
vETH/VRSC,2769530,2773.6982351974525
vETH/VRSC,2769560,2783.1568830818965
vETH/VRSC,2769590,2783.1568830818965
vETH/VRSC,2769620,2757.3357122839793
vETH/VRSC,2769650,2757.3852105702836
vETH/VRSC,2769680,2747.559877546554
vETH/VRSC,2769710,2747.559877546554
vETH/VRSC,2769740,2747.7043622620563
vETH/VRSC,2769770,2756.778293709427
vETH/VRSC,2769800,2763.1178844429264
vETH/VRSC,2769830,2763.0404882071757
vETH/VRSC,2769860,2763.0404882071757
vETH/VRSC,2769890,2768.909600607279
vETH/VRSC,2769920,2794.2864025953863
vETH/VRSC,2769950,2790.651018448941
vETH/VRSC,2769980,2790.5559614284107
vETH/VRSC,2770010,2792.027047419271
vETH/VRSC,2770040,2792.027047419271
vETH/VRSC,2770070,2792.027047419271
vETH/VRSC,2770100,2792.027047419271
vETH/VRSC,2770130,2792.027047419271
vETH/VRSC,2770160,2792.6854915749504
vETH/VRSC,2770190,2792.6854915749504
vETH/VRSC,2770220,2795.631718026291
vETH/VRSC,2770250,2795.631718026291
vETH/VRSC,2770280,2795.631718026291
vETH/VRSC,2770310,2795.631718026291
vETH/VRSC,2770340,2814.2470176456522
vETH/VRSC,2770370,2802.4762034689006
vETH/VRSC,2770400,2802.473646197798
vETH/VRSC,2770430,2802.471088926695
vETH/VRSC,2770460,2802.470174087033
vETH/VRSC,2770490,2802.470174087033
vETH/VRSC,2770520,2802.470174087033
vETH/VRSC,2770550,2802.470174087033
vETH/VRSC,2770580,2802.470174087033
vETH/VRSC,2770610,2802.470174087033
vETH/VRSC,2770640,2802.470174087033
vETH/VRSC,2770670,2802.470174087033
vETH/VRSC,2770700,2802.470174087033
vETH/VRSC,2770730,2802.470174087033
vETH/VRSC,2770760,2802.470174087033
vETH/VRSC,2770790,2802.470174087033
vETH/VRSC,2770820,2802.470174087033
vETH/VRSC,2770850,2802.470174087033
vETH/VRSC,2770880,2802.470101862849
vETH/VRSC,2770910,2802.470101862849
vETH/VRSC,2770940,2802.470101862849
vETH/VRSC,2770970,2802.470101862849
vETH/VRSC,2771000,2802.470101862849
vETH/VRSC,2771030,2802.470101862849
vETH/VRSC,2771060,2802.470101862849
vETH/VRSC,2771090,2802.470101862849
vETH/VRSC,2771120,2802.470101862849
vETH/VRSC,2771150,2802.470101862849
vETH/VRSC,2771180,2815.2616375152165
vETH/VRSC,2771210,2815.260842109223
vETH/VRSC,2771240,2815.260842109223
vETH/VRSC,2771270,2823.721596065853
vETH/VRSC,2771300,2823.721596065853
vETH/VRSC,2771330,2837.0050544681176
vETH/VRSC,2771360,2831.6786282405496
vETH/VRSC,2771390,2831.6786282405496
vETH/VRSC,2771420,2831.6786282405496
vETH/VRSC,2771450,2831.6786282405496
vETH/VRSC,2771480,2831.6786282405496
vETH/VRSC,2771510,2831.6786282405496
vETH/VRSC,2771540,2831.6786282405496
vETH/VRSC,2771570,2831.6786282405496
vETH/VRSC,2771600,2831.6786282405496
vETH/VRSC,2771630,2831.6786282405496
vETH/VRSC,2771660,2831.6786282405496
vETH/VRSC,2771690,2831.6786282405496
vETH/VRSC,2771720,2831.6786282405496
vETH/VRSC,2771750,2831.6786282405496
vETH/VRSC,2771780,2831.6786282405496
vETH/VRSC,2771810,2831.6786282405496
vETH/VRSC,2771840,2831.6786282405496
vETH/VRSC,2771870,2831.7291635157617
vETH/VRSC,2771900,2832.433069164654
vETH/VRSC,2771930,2832.433069164654
vETH/VRSC,2771960,2832.35123965826
vETH/VRSC,2771990,2832.35123965826
vETH/VRSC,2772020,2832.262175572416
vETH/VRSC,2772050,2832.262175572416
vETH/VRSC,2772080,2832.875084754462
vETH/VRSC,2772110,2832.875084754462
vETH/VRSC,2772140,2832.875084754462
vETH/VRSC,2772170,2832.875084754462
vETH/VRSC,2772200,2832.875084754462
vETH/VRSC,2772230,2832.875084754462
vETH/VRSC,2772260,2832.875084754462
vETH/VRSC,2772290,2832.875084754462
vETH/VRSC,2772320,2832.875084754462
vETH/VRSC,2772350,2833.7649008859075
vETH/VRSC,2772380,2833.7649008859075
vETH/VRSC,2772410,2833.7649008859075
vETH/VRSC,2772440,2839.7324442061886
vETH/VRSC,2772470,2838.839097044198
vETH/VRSC,2772500,2864.1865002089366
vETH/VRSC,2772530,2864.185123682536
vETH/VRSC,2772560,2864.185123682536
vETH/VRSC,2772590,2864.185123682536
vETH/VRSC,2772620,2864.185123682536
